Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
2003-01-23 08:58:00,NON-CRIMINAL,"AIDED CASE, DOG BITE",Thursday,TARAVAL,NONE,2000 Block of 36TH AV,-122.494429941856,37.74875245877229
2003-01-23 08:50:00,BURGLARY,"BURGLARY OF APARTMENT HOUSE, ATT FORCIBLE ENTRY",Thursday,MISSION,NONE,100 Block of LIBERTY ST,-122.424597699062,37.7575507679091
2003-01-23 08:49:00,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Thursday,BAYVIEW,"ARREST, BOOKED",1400 Block of YOSEMITE AV,-122.388923737371,37.72522533042871
2003-01-23 08:30:00,OTHER OFFENSES,OBSTRUCTIONS ON STREETS/SIDEWALKS,Thursday,SOUTHERN,"ARREST, CITED",300 Block of DORE ST,-122.408395085045,37.7701525825183
2003-01-23 08:30:00,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Thursday,MISSION,NONE,3700 Block of 20TH ST,-122.424644271432,37.75823960549
2003-01-23 08:30:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,MISSION,NONE,1000 Block of POTRERO AV,-122.406539115148,37.7564864109309
2003-01-23 08:30:00,OTHER OFFENSES,OBSTRUCTIONS ON STREETS/SIDEWALKS,Thursday,SOUTHERN,"ARREST, CITED",100 Block of DORE ST,-122.41194899550501,37.772986737425214
2003-01-23 08:20:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Thursday,INGLESIDE,NONE,400 Block of JUSTIN DR,-122.424248223086,37.732080597614
2003-01-23 08:15:00,OTHER OFFENSES,OBSTRUCTIONS ON STREETS/SIDEWALKS,Thursday,SOUTHERN,"ARREST, CITED",100 Block of DORE ST,-122.41194899550501,37.772986737425214
2003-01-23 08:15:00,DISORDERLY CONDUCT,COMMITTING PUBLIC NUISANCE,Thursday,SOUTHERN,"ARREST, CITED",100 Block of DORE ST,-122.41194899550501,37.772986737425214
2003-01-23 08:12:00,OTHER OFFENSES,OBSTRUCTIONS ON STREETS/SIDEWALKS,Thursday,SOUTHERN,"ARREST, CITED",300 Block of DORE ST,-122.408395085045,37.7701525825183
2003-01-23 08:11:00,ASSAULT,BATTERY,Thursday,MISSION,NONE,FOLSOM ST / 14TH ST,-122.415616338328,37.7685360123629
2003-01-23 08:00:00,OTHER OFFENSES,VIOLATION OF MUNICIPAL POLICE CODE,Thursday,BAYVIEW,"ARREST, CITED",DAVIDSON AV / RANKIN ST,-122.391619364836,37.745734152618
2003-01-23 08:00:00,ASSAULT,BATTERY,Thursday,TENDERLOIN,NONE,ELLIS ST / JONES ST,-122.412784096509,37.7848656939297
2003-01-23 08:00:00,OTHER OFFENSES,OBSTRUCTIONS ON STREETS/SIDEWALKS,Thursday,SOUTHERN,"ARREST, CITED",300 Block of DORE ST,-122.408395085045,37.7701525825183
2003-01-23 08:00:00,OTHER OFFENSES,OBSTRUCTIONS ON STREETS/SIDEWALKS,Thursday,SOUTHERN,"ARREST, CITED",100 Block of DORE ST,-122.41194899550501,37.772986737425214
2003-01-23 08:00:00,WARRANTS,WARRANT ARREST,Thursday,BAYVIEW,"ARREST, BOOKED",DAVIDSON AV / RANKIN ST,-122.391619364836,37.745734152618
2003-01-23 08:00:00,DISORDERLY CONDUCT,COMMITTING PUBLIC NUISANCE,Thursday,SOUTHERN,"ARREST, CITED",100 Block of DORE ST,-122.41194899550501,37.772986737425214
2003-01-23 08:00:00,BURGLARY,"BURGLARY OF HOTEL ROOM, UNLAWFUL ENTRY",Thursday,NORTHERN,NONE,3100 Block of WEBSTER ST,-122.43420343594101,37.799403168775
2003-01-23 08:00:00,MISSING PERSON,MISSING JUVENILE,Thursday,RICHMOND,LOCATED,2400 Block of CABRILLO ST,-122.48487585461399,37.774466561434295
2003-01-23 08:00:00,FORGERY/COUNTERFEITING,"CHECKS, MAKE OR PASS FICTITIOUS",Thursday,RICHMOND,NONE,5400 Block of GEARY BL,-122.47777209017,37.7802849097527
2003-01-23 08:00:00,OTHER OFFENSES,DUMPING OF OFFENSIVE MATTER,Thursday,BAYVIEW,"ARREST, BOOKED",DAVIDSON AV / RANKIN ST,-122.391619364836,37.745734152618
2003-01-23 07:47:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,SOUTHERN,"ARREST, CITED",KATE ST / BRYANT ST,-122.406360468345,37.7730097038822
2003-01-23 07:45:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,NORTHERN,NONE,0 Block of HEMLOCK ST,-122.419203004268,37.7874378309112
2003-01-23 07:45:00,OTHER OFFENSES,OBSTRUCTIONS ON STREETS/SIDEWALKS,Thursday,SOUTHERN,"ARREST, CITED",300 Block of DORE ST,-122.408395085045,37.7701525825183
2003-01-23 07:37:00,OTHER OFFENSES,VIOLATION OF PARK CODE,Thursday,TENDERLOIN,"ARREST, CITED",0 Block of UNITED NATIONS PZ,-122.41431222924,37.77983391835871
2003-01-23 07:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,NORTHERN,NONE,1500 Block of VAN NESS AV,-122.422062730287,37.789920002385
2003-01-23 07:30:00,WARRANTS,WARRANT ARREST,Thursday,SOUTHERN,"ARREST, BOOKED",600 Block of KING ST,-122.40157045985201,37.770450745892795
2003-01-23 07:30:00,OTHER OFFENSES,OBSTRUCTIONS ON STREETS/SIDEWALKS,Thursday,SOUTHERN,"ARREST, BOOKED",600 Block of KING ST,-122.40157045985201,37.770450745892795
2003-01-23 07:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,SOUTHERN,NONE,600 Block of FOLSOM ST,-122.39844260242701,37.7842467187499
2003-01-23 07:15:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Thursday,BAYVIEW,"ARREST, BOOKED",200 Block of CASHMERE ST,-122.387098994172,37.736242131447604
2003-01-23 07:15:00,OTHER OFFENSES,PAROLE VIOLATION,Thursday,BAYVIEW,"ARREST, BOOKED",200 Block of CASHMERE ST,-122.387098994172,37.736242131447604
2003-01-23 07:15:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,INGLESIDE,"ARREST, CITED",SCHWERIN ST / VISITACION AV,-122.410641280695,37.712205869147
2003-01-23 07:10:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,SOUTHERN,"ARREST, CITED",9TH ST / BRYANT ST,-122.408534526853,37.771290669456214
2003-01-23 07:08:00,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Thursday,RICHMOND,NONE,500 Block of JOHN F KENNEDY DR,-122.46620466789301,37.7725405391593
2003-01-23 07:00:00,SUSPICIOUS OCC,SUSPICIOUS ACT TOWARDS CHILD,Thursday,BAYVIEW,NONE,200 Block of WESTPOINT RD,-122.378928955993,37.7352990706774
2003-01-23 07:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,INGLESIDE,NONE,CAYUGA AV / SENECA AV,-122.442549612479,37.7196199056222
2003-01-23 07:00:00,OTHER OFFENSES,OBSTRUCTIONS ON STREETS/SIDEWALKS,Thursday,SOUTHERN,"ARREST, BOOKED",400 Block of BERRY ST,-122.3982226939,37.772016123181295
2003-01-23 07:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,SOUTHERN,NONE,11TH ST / DIVISION ST,-122.41093275078899,37.7694113849465
2003-01-23 07:00:00,OTHER OFFENSES,OBSTRUCTIONS ON STREETS/SIDEWALKS,Thursday,SOUTHERN,"ARREST, CITED",200 Block of BERRY ST,-122.394536050854,37.7749311556455
2003-01-23 07:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Thursday,SOUTHERN,NONE,11TH ST / DIVISION ST,-122.41093275078899,37.7694113849465
2003-01-23 06:45:00,NON-CRIMINAL,LOST PROPERTY,Thursday,MISSION,NONE,3000 Block of MARKET ST,-122.44236969444,37.7609713184553
2003-01-23 06:43:00,ASSAULT,BATTERY,Thursday,CENTRAL,NONE,400 Block of NORTH POINT ST,-122.41461383541201,37.806392787676295
2003-01-23 06:30:00,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Thursday,MISSION,NONE,500 Block of LIBERTY ST,-122.43354092528601,37.7570071557685
2003-01-23 06:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,NORTHERN,NONE,400 Block of VAN NESS AV,-122.42021727334499,37.7791510160099
2003-01-23 06:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,TARAVAL,NONE,47TH AV / LINCOLN WY,-122.50725997343099,37.7641129859929
2003-01-23 05:40:00,ROBBERY,CARJACKING WITH A DANGEROUS WEAPON,Thursday,BAYVIEW,NONE,NEWHALL ST / CARROLL AV,-122.39862141263599,37.728557669115
2003-01-23 05:34:00,FRAUD,FALSE ID TO PEACE OFFICER,Thursday,MISSION,"ARREST, BOOKED",600 Block of DOLORES ST,-122.425650091676,37.7586370105078
2003-01-23 05:34:00,WARRANTS,WARRANT ARREST,Thursday,MISSION,"ARREST, BOOKED",600 Block of DOLORES ST,-122.425650091676,37.7586370105078
2003-01-23 05:32:00,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Thursday,NORTHERN,"ARREST, BOOKED",1000 Block of POST ST,-122.41912629534201,37.7869849580362
2003-01-23 05:25:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,INGLESIDE,NONE,100 Block of VIENNA ST,-122.426392837224,37.72594305235229
2003-01-23 05:25:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Thursday,INGLESIDE,NONE,100 Block of VIENNA ST,-122.426392837224,37.72594305235229
2003-01-23 05:15:00,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Thursday,SOUTHERN,"ARREST, CITED",8TH ST / TEHAMA ST,-122.41107271558998,37.775792939297204
2003-01-23 05:15:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,SOUTHERN,"ARREST, CITED",MARKET ST / CYRIL MAGNIN STORTH ST,-122.40806834515499,37.783991676793214
2003-01-23 05:01:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,BAYVIEW,NONE,2500 Block of GRIFFITH ST,-122.386437671186,37.7191834462785
2003-01-23 05:00:00,NON-CRIMINAL,FOUND PROPERTY,Thursday,SOUTHERN,NONE,600 Block of TOWNSEND ST,-122.40283731467899,37.7709621095346
2003-01-23 04:30:00,BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",Thursday,INGLESIDE,"ARREST, BOOKED",4900 Block of MISSION ST,-122.438695075365,37.7196920262929
2003-01-23 04:04:00,SUSPICIOUS OCC,SUSPICIOUS PERSON,Thursday,NORTHERN,"ARREST, BOOKED",VAN NESS AV / BUSH ST,-122.421949487554,37.7884881520906
2003-01-23 04:00:00,NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Thursday,CENTRAL,NONE,1200 Block of LEAVENWORTH ST,-122.41609466771601,37.79257308034371
2003-01-23 03:15:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,SOUTHERN,"ARREST, CITED",MISSION ST / 7TH ST,-122.410939205559,37.7792122589856
2003-01-23 03:11:00,WARRANTS,WARRANT ARREST,Thursday,SOUTHERN,"ARREST, BOOKED",MISSION ST / 1ST ST,-122.397576409121,37.78976193086071
2003-01-23 03:02:00,DISORDERLY CONDUCT,COMMITTING PUBLIC NUISANCE,Thursday,NORTHERN,"ARREST, BOOKED",SUTTER ST / POLK ST,-122.42012031921101,37.78775706021821
2003-01-23 03:02:00,LOITERING,LOITERING,Thursday,NORTHERN,"ARREST, BOOKED",SUTTER ST / POLK ST,-122.42012031921101,37.78775706021821
2003-01-23 02:57:00,DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,Thursday,PARK,"ARREST, BOOKED",DIVISADERO ST / TURK ST,-122.43874173734,37.7796593150035
2003-01-23 02:54:00,WARRANTS,WARRANT ARREST,Thursday,CENTRAL,"ARREST, BOOKED",700 Block of SUTTER ST,-122.41274032268,37.788755110963
2003-01-23 02:50:00,OTHER OFFENSES,TRAFFIC VIOLATION,Thursday,SOUTHERN,"ARREST, CITED",KING ST / 2ND ST,-122.38959528329399,37.7798611973964
2003-01-23 02:46:00,OTHER OFFENSES,FALSE EVIDENCE OF VEHICLE REGISTRATION,Thursday,NORTHERN,"ARREST, CITED",BUSH ST / FRANKLIN ST,-122.423598600861,37.7882799630246
2003-01-23 02:45:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Thursday,PARK,"ARREST, BOOKED",1300 Block of FULTON ST,-122.439037573428,37.776802154003896
2003-01-23 02:45:00,WARRANTS,WARRANT ARREST,Thursday,PARK,"ARREST, BOOKED",1300 Block of FULTON ST,-122.439037573428,37.776802154003896
2003-01-23 02:39:00,FRAUD,FALSE ID TO PEACE OFFICER,Thursday,TENDERLOIN,"ARREST, CITED",100 Block of GOLDEN GATE AV,-122.413047972078,37.781911962829795
2003-01-23 02:31:00,DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,Thursday,NORTHERN,"ARREST, BOOKED",LOMBARD ST / OCTAVIA ST,-122.429472641298,37.8006769414079
2003-01-23 02:30:00,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,NORTHERN,"ARREST, BOOKED",800 Block of LARKIN ST,-122.417885441042,37.785437847196796
2003-01-23 02:15:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,TARAVAL,"ARREST, BOOKED",1400 Block of LOWER GREAT HY,-122.509197574765,37.7593246859674
2003-01-23 02:15:00,FRAUD,FALSE ID TO PEACE OFFICER,Thursday,TARAVAL,"ARREST, BOOKED",1400 Block of LOWER GREAT HY,-122.509197574765,37.7593246859674
2003-01-23 02:15:00,OTHER OFFENSES,RESISTING ARREST,Thursday,TARAVAL,"ARREST, BOOKED",1400 Block of LOWER GREAT HY,-122.509197574765,37.7593246859674
2003-01-23 02:15:00,OTHER OFFENSES,MISCELLANEOUS STATE MISDEMEANOR,Thursday,TARAVAL,"ARREST, BOOKED",1400 Block of LOWER GREAT HY,-122.509197574765,37.7593246859674
2003-01-23 02:15:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Thursday,TARAVAL,"ARREST, BOOKED",1400 Block of LOWER GREAT HY,-122.509197574765,37.7593246859674
2003-01-23 02:12:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,SOUTHERN,"ARREST, BOOKED",900 Block of MARKET ST,-122.408595110869,37.7837069301545
2003-01-23 02:12:00,WARRANTS,WARRANT ARREST,Thursday,SOUTHERN,"ARREST, BOOKED",900 Block of MARKET ST,-122.408595110869,37.7837069301545
2003-01-23 02:11:00,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Thursday,INGLESIDE,NONE,MT VERNON AV / ELLINGTON AV,-122.443256438615,37.715042804925
2003-01-23 02:09:00,OTHER OFFENSES,VIOLATION OF PARK CODE,Thursday,PARK,"ARREST, BOOKED",700 Block of STANYAN ST,-122.45319019834,37.7677850586334
2003-01-23 02:09:00,WARRANTS,WARRANT ARREST,Thursday,PARK,"ARREST, BOOKED",700 Block of STANYAN ST,-122.45319019834,37.7677850586334
2003-01-23 02:09:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Thursday,INGLESIDE,"ARREST, BOOKED",BOSWORTH ST / ROTTECK ST,-122.431123576715,37.7331799055493
2003-01-23 02:09:00,OTHER OFFENSES,RESISTING ARREST,Thursday,INGLESIDE,"ARREST, BOOKED",BOSWORTH ST / ROTTECK ST,-122.431123576715,37.7331799055493
2003-01-23 02:00:00,LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,Thursday,MISSION,NONE,17TH ST / VALENCIA ST,-122.421733767771,37.763299694598395
2003-01-23 02:00:00,BURGLARY,"BURGLARY,BLDG. UNDER CONSTRUCTION, FORCIBLE ENTRY",Thursday,SOUTHERN,"ARREST, BOOKED",3RD ST / MINNA ST,-122.401494315276,37.78582843274621
2003-01-23 01:58:00,OTHER OFFENSES,FAILURE TO REGISTER AS SEX OFFENDER,Thursday,SOUTHERN,"ARREST, BOOKED",RUSS ST / HOWARD ST,-122.408275664984,37.7788598479242
2003-01-23 01:30:00,ASSAULT,BATTERY,Thursday,MISSION,"ARREST, BOOKED",1100 Block of TREAT AV,-122.412846392511,37.75175927557971
2003-01-23 01:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Thursday,PARK,NONE,BURNETT AV / HOPKINS AV,-122.444640304898,37.75313664850179
2003-01-23 01:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,PARK,NONE,BURNETT AV / HOPKINS AV,-122.444640304898,37.75313664850179
2003-01-23 00:57:00,LOITERING,LOITERING,Thursday,NORTHERN,"ARREST, BOOKED",1500 Block of BUSH ST,-122.422798099292,37.788436907028796
2003-01-23 00:57:00,DISORDERLY CONDUCT,COMMITTING PUBLIC NUISANCE,Thursday,NORTHERN,"ARREST, BOOKED",1500 Block of BUSH ST,-122.422798099292,37.788436907028796
2003-01-23 00:55:00,LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,Thursday,MISSION,NONE,15TH ST / SHOTWELL ST,-122.416552635495,37.766869895205296
2003-01-23 00:54:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Thursday,TENDERLOIN,NONE,TURK ST / HYDE ST,-122.415694922141,37.782585196823796
2003-01-23 00:30:00,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Thursday,CENTRAL,NONE,0 Block of MONTGOMERY ST,-122.402163713618,37.7895710255863
2003-01-23 00:29:00,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Thursday,NORTHERN,NONE,2300 Block of BUCHANAN ST,-122.43107316900699,37.79156871030021
2003-01-23 00:28:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,SOUTHERN,"ARREST, CITED",VAN NESS AV / MARKET ST,-122.419257894821,37.775146291630996
2003-01-23 00:21:00,LOITERING,LOITERING,Thursday,MISSION,"ARREST, BOOKED",16TH ST / TREAT AV,-122.41310762270099,37.7654480180311
2003-01-23 00:21:00,MISSING PERSON,FOUND PERSON,Thursday,MISSION,"ARREST, BOOKED",16TH ST / TREAT AV,-122.41310762270099,37.7654480180311
2003-01-23 00:10:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,MISSION,NONE,0 Block of LAPIDGE ST,-122.422264377356,37.760839414199296
2003-01-23 00:01:00,FORGERY/COUNTERFEITING,"FORGERY, NOTES",Thursday,CENTRAL,NONE,200 Block of SUTTER ST,-122.40482801879,37.789759693834206
2003-01-23 00:01:00,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Thursday,NORTHERN,NONE,1200 Block of VAN NESS AV,-122.421441956086,37.78685164710871
2003-01-23 00:01:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,TARAVAL,NONE,1900 Block of 18TH AV,-122.475279310173,37.751469583813
2003-01-23 00:01:00,ASSAULT,CHILD ABUSE (PHYSICAL),Thursday,BAYVIEW,NONE,1500 Block of SHAFTER AV,-122.389768984951,37.7305636925712
2003-01-23 00:01:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,TARAVAL,NONE,0 Block of VERNON ST,-122.46805899290399,37.7136103728244
2003-01-23 00:01:00,ASSAULT,CHILD ABUSE (PHYSICAL),Thursday,MISSION,NONE,1000 Block of VALENCIA ST,-122.421010357525,37.7565060595854
2003-01-23 00:01:00,FORGERY/COUNTERFEITING,"CHECKS, MAKE OR PASS FICTITIOUS",Thursday,CENTRAL,NONE,200 Block of SUTTER ST,-122.40482801879,37.789759693834206
2003-01-23 00:01:00,SEX OFFENSES FORCIBLE,ORAL COPULATION,Thursday,MISSION,NONE,1000 Block of VALENCIA ST,-122.421010357525,37.7565060595854
2003-01-23 00:01:00,LARCENY/THEFT,"LOST PROPERTY, PETTY THEFT",Thursday,SOUTHERN,NONE,MARKET ST / SPEAR ST,-122.395630116238,37.793789967066004
2003-01-23 00:01:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,BAYVIEW,NONE,800 Block of JAMESTOWN AV,-122.391093359953,37.7173250785192
2003-01-23 00:01:00,FORGERY/COUNTERFEITING,"COUNTERFEITING, POSSESSION COINS OR NOTES",Thursday,TARAVAL,NONE,900 Block of TARAVAL ST,-122.47621145845801,37.7429719095254
2003-01-23 00:01:00,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Thursday,MISSION,"ARREST, CITED",17TH ST / SHOTWELL ST,-122.416230392551,37.7636337703031
2003-01-23 00:01:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,NORTHERN,NONE,TURK ST / VAN NESS AV,-122.42064189374099,37.7819608221608
2003-01-22 23:57:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,CENTRAL,NONE,700 Block of GEARY ST,-122.415632654294,37.7863587808386
2003-01-22 23:50:00,OTHER OFFENSES,TRAFFIC VIOLATION,Wednesday,SOUTHERN,"ARREST, CITED",200 Block of I-80,-122.36493749408001,37.8102044406285
2003-01-22 23:50:00,ASSAULT,THREATS AGAINST LIFE,Wednesday,INGLESIDE,NONE,100 Block of NEY ST,-122.42718021085301,37.730024796823
2003-01-22 23:50:00,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Wednesday,TENDERLOIN,NONE,400 Block of OFARRELL ST,-122.412563218508,37.785785061938206
2003-01-22 23:45:00,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,MISSION,"ARREST, BOOKED",100 Block of PORTOLA DR,-122.44427646885799,37.7484965077695
2003-01-22 23:45:00,SECONDARY CODES,DOMESTIC VIOLENCE,Wednesday,MISSION,"ARREST, BOOKED",100 Block of PORTOLA DR,-122.44427646885799,37.7484965077695
2003-01-22 23:45:00,ASSAULT,BATTERY,Wednesday,MISSION,"ARREST, BOOKED",100 Block of PORTOLA DR,-122.44427646885799,37.7484965077695
2003-01-22 23:45:00,OTHER OFFENSES,INJURY TO TELEGRAPH/TELEPHONE LINES,Wednesday,MISSION,"ARREST, BOOKED",100 Block of PORTOLA DR,-122.44427646885799,37.7484965077695
2003-01-22 23:31:00,OTHER OFFENSES,TRAFFIC VIOLATION,Wednesday,INGLESIDE,"ARREST, CITED",VALLEY ST / SAN JOSE AV,-122.422371717433,37.7447640116337
2003-01-22 23:30:00,OTHER OFFENSES,TRAFFIC VIOLATION,Wednesday,MISSION,"ARREST, BOOKED",3200 Block of CESAR CHAVEZ ST,-122.41539292005899,37.7483160145865
2003-01-22 23:30:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Wednesday,INGLESIDE,NONE,0 Block of CORTLAND AV,-122.422322643356,37.7407551781209
2003-01-22 23:30:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Wednesday,MISSION,"ARREST, BOOKED",3200 Block of CESAR CHAVEZ ST,-122.41539292005899,37.7483160145865
2003-01-22 23:30:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,INGLESIDE,NONE,0 Block of CORTLAND AV,-122.422322643356,37.7407551781209
2003-01-22 23:23:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Wednesday,MISSION,"ARREST, BOOKED",2000 Block of MISSION ST,-122.41965834371,37.7642205603745
2003-01-22 23:23:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Wednesday,MISSION,"ARREST, BOOKED",2000 Block of MISSION ST,-122.41965834371,37.7642205603745
2003-01-22 23:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,PARK,NONE,0 Block of DAWNVIEW WY,-122.44635387698901,37.747824743406
2003-01-22 23:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,INGLESIDE,NONE,PRECITA AV / MISSION ST,-122.419123525581,37.7467755179095
2003-01-22 23:00:00,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Wednesday,TARAVAL,NONE,3900 Block of ALEMANY BL,-122.468105304613,37.71096391463939
2003-01-22 23:00:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,TENDERLOIN,"ARREST, CITED",EDDY ST / LARKIN ST,-122.417530696987,37.783310753974
2003-01-22 22:55:00,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,CENTRAL,"ARREST, BOOKED",1000 Block of HYDE ST,-122.417368206741,37.790509415159505
2003-01-22 22:55:00,LARCENY/THEFT,PETTY THEFT WITH PRIOR,Wednesday,CENTRAL,"ARREST, BOOKED",1000 Block of HYDE ST,-122.417368206741,37.790509415159505
2003-01-22 22:50:00,ASSAULT,INFLICT INJURY ON COHABITEE,Wednesday,INGLESIDE,NONE,0 Block of RESTANI WY,-122.443412538106,37.717722778199295
2003-01-22 22:45:00,ASSAULT,THREATS AGAINST LIFE,Wednesday,MISSION,"ARREST, BOOKED",300 Block of SANCHEZ ST,-122.430871936382,37.7635433745815
2003-01-22 22:45:00,SECONDARY CODES,DOMESTIC VIOLENCE,Wednesday,MISSION,"ARREST, BOOKED",300 Block of SANCHEZ ST,-122.430871936382,37.7635433745815
2003-01-22 22:45:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,BAYVIEW,NONE,17TH ST / WISCONSIN ST,-122.39966592813101,37.7649567150706
2003-01-22 22:45:00,ASSAULT,STALKING,Wednesday,MISSION,"ARREST, BOOKED",300 Block of SANCHEZ ST,-122.430871936382,37.7635433745815
2003-01-22 22:40:00,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Wednesday,NORTHERN,"ARREST, CITED",SUTTER ST / LARKIN ST,-122.41846774793801,37.787965256956795
2003-01-22 22:30:00,WARRANTS,WARRANT ARREST,Wednesday,SOUTHERN,"ARREST, BOOKED",4TH ST / FOLSOM ST,-122.401161555609,37.782023847874605
2003-01-22 22:30:00,WARRANTS,WARRANT ARREST,Wednesday,NORTHERN,"ARREST, BOOKED",0 Block of HEMLOCK ST,-122.419197314093,37.787327331803496
2003-01-22 22:30:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,MISSION,NONE,1900 Block of MARKET ST,-122.426498379985,37.769249045094
2003-01-22 22:30:00,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Wednesday,PARK,NONE,0 Block of BEULAH ST,-122.450910971518,37.7675357295038
2003-01-22 22:30:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,SOUTHERN,"ARREST, BOOKED",4TH ST / FOLSOM ST,-122.401161555609,37.782023847874605
2003-01-22 22:21:00,DISORDERLY CONDUCT,MAINTAINING A PUBLIC NUISANCE AFTER NOTIFICATION,Wednesday,PARK,"ARREST, BOOKED",HAIGHT ST / SHRADER ST,-122.45186455260901,37.769350538183204
2003-01-22 22:21:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Wednesday,PARK,"ARREST, BOOKED",HAIGHT ST / SHRADER ST,-122.45186455260901,37.769350538183204
2003-01-22 22:15:00,TRESPASS,TRESPASSING,Wednesday,CENTRAL,"ARREST, CITED",100 Block of SUTTER ST,-122.403344544792,37.7898368259498
